"time_window_start","daily_unique_visitors","ttr_min","views"
"2016-06-27","1","null","3"
"2016-06-28","1","null","2"
"2016-06-29","1","null","4"
"2016-06-30","2","null","1"
"2016-07-01","2","null","3"
"2016-07-05","1","null","3"
"2016-07-07","1","null","3"
"2016-07-25","226","283.43","453"
"2016-07-26","343","124.21","178"
"2016-07-27","96","55.19","82"
"2016-07-28","46","37.31","40"
"2016-07-29","24","14.89","19"
"2016-07-30","13","5.96","12"
"2016-07-31","8","9.12","11"
"2016-08-01","15","10.07","30"
"2016-08-02","19","17.07","23"
"2016-08-03","16","10.99","22"
"2016-08-04","48","75.96","120"
"2016-08-05","150","130.93","227"
"2016-08-06","118","38.21","40"
"2016-08-07","25","18.82","29"
"2016-08-08","51","125.21","160"
"2016-08-09","333","686.84","719"
"2016-08-10","538","372.69","367"
"2016-08-11","179","98.35","112"
"2016-08-12","94","75.80","86"
"2016-08-13","47","28.96","28"
"2016-08-14","17","20.68","21"
"2016-08-15","76","116.73","210"
"2016-08-16","125","89.30","86"
"2016-08-17","51","43.48","58"
"2016-08-18","21","18.42","34"
"2016-08-19","26","15.93","31"
"2016-08-20","12","6.86","14"
"2016-08-21","9","12.94","13"
"2016-08-22","42","111.62","159"
"2016-08-23","112","51.59","57"
"2016-08-24","30","25.12","38"
"2016-08-25","22","18.57","23"
"2016-08-26","49","158.92","233"
"2016-08-27","104","114.58","80"
"2016-08-28","44","43.12","31"
"2016-08-29","58","148.70","136"
"2016-08-30","137","159.92","202"
"2016-08-31","94","34.71","50"
"2016-09-01","39","34.24","57"
"2016-09-02","22","33.79","32"
"2016-09-03","14","13.98","13"
"2016-09-04","10","5.65","10"
"2016-09-05","17","15.80","35"
"2016-09-06","19","13.37","46"
"2016-09-07","24","29.56","34"
"2016-09-08","20","17.67","28"
"2016-09-09","13","12.65","23"
"2016-09-10","9","1.80","3"
"2016-09-11","4","5.56","11"
"2016-09-12","7","4.57","13"
"2016-09-13","25","101.82","111"
"2016-09-14","68","121.28","85"
"2016-09-15","49","81.58","59"
"2016-09-16","28","65.38","41"
"2016-09-17","61","119.15","114"
"2016-09-18","74","60.61","56"
"2016-09-19","67","110.75","124"
"2016-09-20","102","203.78","219"
"2016-09-21","122","170.51","115"
"2016-09-22","67","108.73","95"
"2016-09-23","62","40.69","56"
"2016-09-24","23","30.86","23"
"2016-09-25","25","59.59","52"
"2016-09-26","50","89.44","90"
"2016-09-27","36","18.03","40"
"2016-09-28","32","68.41","81"
"2016-09-29","33","34.80","48"
"2016-09-30","35","37.72","62"
"2016-10-01","25","5.54","10"
"2016-10-02","12","7.77","14"
"2016-10-03","17","17.04","31"
"2016-10-04","25","27.63","40"
"2016-10-05","25","25.12","28"
"2016-10-06","16","14.71","16"
"2016-10-07","17","25.02","26"
"2016-10-08","17","23.60","22"
"2016-10-09","15","19.90","19"
"2016-10-10","45","98.91","134"
"2016-10-11","85","90.76","109"
"2016-10-12","75","88.20","108"
"2016-10-13","64","81.12","135"
"2016-10-14","164","303.50","367"
"2016-10-15","189","47.21","42"
"2016-10-16","28","21.76","32"
"2016-10-17","36","60.48","101"
"2016-10-18","78","126.18","255"
"2016-10-19","134","99.96","120"
"2016-10-20","66","37.39","51"
"2016-10-21","30","18.81","25"
"2016-10-22","19","12.60","19"
"2016-10-23","15","13.75","17"
"2016-10-24","20","25.81","32"
"2016-10-25","38","49.96","85"
"2016-10-26","117","232.48","245"
"2016-10-27","124","65.48","49"
"2016-10-28","55","109.09","83"
"2016-10-29","43","34.68","27"
"2016-10-30","27","35.10","56"
"2016-10-31","73","327.80","256"
"2016-11-01","196","264.60","180"
"2016-11-02","97","63.19","75"
"2016-11-03","59","64.06","77"
"2016-11-04","73","118.90","141"
"2016-11-05","78","45.53","43"
"2016-11-06","30","43.61","36"
"2016-11-07","46","79.26","94"
"2016-11-08","51","80.80","47"
"2016-11-09","26","24.12","39"
"2016-11-10","25","29.25","37"
"2016-11-11","19","13.68","18"
"2016-11-12","15","10.97","13"
"2016-11-13","14","19.38","24"
"2016-11-14","53","92.61","114"
"2016-11-15","55","40.57","42"
"2016-11-16","24","15.42","24"
"2016-11-17","50","70.47","131"
"2016-11-18","156","86.58","209"
"2016-11-19","91","23.59","55"
"2016-11-20","35","11.46","24"
"2016-11-21","19","36.88","49"
"2016-11-22","36","34.45","62"
"2016-11-23","42","35.27","64"
"2016-11-24","26","14.70","29"
"2016-11-25","15","6.68","9"
"2016-11-26","10","13.65","18"
"2016-11-27","13","19.11","17"
"2016-11-28","46","197.29","162"
"2016-11-29","99","95.46","102"
"2016-11-30","62","59.44","61"
"2016-12-01","78","76.97","155"
"2016-12-02","95","44.89","52"
"2016-12-03","20","13.02","15"
"2016-12-04","13","24.23","19"
"2016-12-05","32","42.70","100"
"2016-12-06","69","116.95","133"
"2016-12-07","62","101.82","72"
"2016-12-08","52","38.20","105"
"2016-12-09","66","25.43","47"
"2016-12-10","24","16.17","23"
"2016-12-11","15","31.12","25"
"2016-12-12","31","95.68","128"
"2016-12-13","89","108.19","126"
"2016-12-14","60","86.07","99"
"2016-12-15","69","98.16","104"
"2016-12-16","154","301.79","413"
"2016-12-17","296","179.13","219"
"2016-12-18","120","86.48","87"
"2016-12-19","109","148.77","169"
"2016-12-20","190","307.61","526"
"2016-12-21","423","405.26","495"
"2016-12-22","275","165.54","205"
"2016-12-23","187","294.63","307"
"2016-12-24","165","79.51","79"
"2016-12-25","59","69.32","67"
"2016-12-26","56","92.34","84"
"2016-12-27","94","178.22","189"
"2016-12-28","218","736.46","689"
"2016-12-29","896","1473.97","875"
"2016-12-30","520","818.71","380"
"2016-12-31","274","442.74","207"
"2017-01-01","144","218.70","151"
"2017-01-02","196","293.07","281"
"2017-01-03","281","322.14","356"
"2017-01-04","391","402.12","484"
"2017-01-05","269","199.81","186"
"2017-01-06","150","172.11","200"
"2017-01-07","120","111.33","120"
"2017-01-08","96","107.23","110"
"2017-01-09","114","194.52","188"
"2017-01-10","158","209.42","276"
"2017-01-11","156","126.21","189"
"2017-01-12","117","112.46","114"
"2017-01-13","92","115.95","154"
"2017-01-14","88","55.37","65"
"2017-01-15","59","82.66","85"
"2017-01-16","86","119.59","137"
"2017-01-17","347","4259.48","2225"
"2017-01-18","2862","4791.92","2532"
