Date, Minutes Read, Views, Visitors
6/14/2017,368,413.8266796494646,297.0594548186308
6/15/2017,1044,980.525803310613,267.01008800171724
6/16/2017,932,851.0223953261926,711.7407168920369
6/17/2017,786,802.336903602726,609.5728697145312
6/18/2017,591,629.9902629016552,540.8886027044431
6/19/2017,804,734.1772151898731,416.3983687486588
6/20/2017,335,373.9045764362219,504.82936252414675
6/21/2017,329,340.79844206426503,261.0002146383345
6/22/2017,498,589.0944498539435,233.52650783429908
6/23/2017,6000,5000,411.247048722902
6/24/2017,3362,2520.9347614410904,4000
6/25/2017,1547,1267.7702044790653,1990.9851899549258
6/26/2017,1230,941.5774099318405,967.589611504615
6/27/2017,462,440.1168451801362,673.1058166988623
6/28/2017,458,384.61538461538487,301.3522215067613
6/29/2017,779,641.6747809152872,287.61536810474354
6/30/2017,2306,1441.0905550146051,434.4279888388064
7/1/2017,1405,942.5511197663095,1079.201545396008
7/2/2017,972,773.1256085686463,685.9841167632537
7/3/2017,650,596.8841285296984,546.8984760678258
7/4/2017,378,358.3252190847127,433.5694355011805
7/5/2017,329,307.6923076923075,248.1219145739427
7/6/2017,581,600.7789678675755,224.9409744580382
7/7/2017,2103,1618.3057448880231,388.0661086069975
7/8/2017,1328,1024.3427458617336,1238.8924661944623
7/9/2017,673,702.0447906523859,764.9710238248554
7/10/2017,550,544.3037974683547,449.02339557845056
7/11/2017,267,261.92794547224906,345.1384417256921
7/12/2017,274,251.21713729308667,196.6087143163769
7/13/2017,219,244.4011684518014,168.27645417471558
