Date, Minutes Read, Views, Visitors
6/17/2018,1137,879,909
6/18/2018,1980,1724,766
6/19/2018,2503,1864,1444
6/20/2018,1920,1586,1623
6/21/2018,5461,3196,1340
6/22/2018,8366,4253,2791
6/23/2018,1980,1447,3718
6/24/2018,1384,1172,1214
6/25/2018,2288,1752,979
6/26/2018,2293,1656,1490
6/27/2018,2107,1573,1409
6/28/2018,1970,1542,1377
6/29/2018,1629,1397,1320
6/30/2018,1050,941,1190
7/1/2018,1061,911,787
7/2/2018,1789,1525,800
7/3/2018,2020,1646,1325
7/4/2018,1921,1514,1397
7/5/2018,2341,1686,1274
7/6/2018,3508,2225,1474
7/7/2018,2093,1241,1964
7/8/2018,1922,1210,1094
7/9/2018,2946,1883,1019
7/10/2018,3456,2155,1625
7/11/2018,2919,1838,1894
7/12/2018,2818,1901,1631
7/13/2018,2700,1840,1646
7/14/2018,1720,1144,1593
7/15/2018,1602,1103,985
7/16/2018,610,323,931
